       w1         w2         w3         w4   Data Height 

    26.154     26.136      0.099      0.106      8270320 
    30.835     15.085      4.675      6.590       240823 
    30.785     20.477     -0.259      6.592      -287194 
    30.891     28.895      1.212      6.595       140349 
    13.947     26.800      0.869      0.845       732758 
    13.947     19.141      1.471      0.866     -1157054 
    17.799     19.150      5.028      0.683       367321 
    31.545     31.067      4.049      5.380       -75032 
    13.947     19.118      5.029      5.349       343250 
    30.802     30.806     -0.415      6.589      2120454 
    29.479     18.269      4.338      7.180      -276290 
    15.760     14.639      4.478      6.851      -225370 
    28.956     15.938     -0.152      6.852       691478 
    21.657     24.257      3.035      0.163       624272 
    21.628     15.195      4.290      0.164       401938 
    21.622     30.841      1.570      0.164       709234 
    21.635     21.617      0.161      0.165     23658410 
    21.638     21.607      0.655      0.164      1301732 
    20.906     20.910      0.839      0.142      -243370 
    21.633     21.603      0.162      0.659      1137107 
    21.214     15.058      4.288      0.662       122073 
    27.542     28.410      1.192      0.435       139584 
    25.208     23.718      0.932      0.937      -887352 
    24.234     21.585      0.240      0.924        68454 
    21.459     13.623      4.429      0.923       276791 
    21.288     23.660      4.169      0.923       246950 
    21.484     23.507      3.254      0.923       291139 
    21.410     31.659      1.878      0.921       621240 
    21.369     29.818      1.822      0.921       144102 
    21.330     29.877      1.615      0.921       170746 
    21.181     19.817      1.460      0.888        60440 
    31.623     21.313      0.910      1.890       400464 
    19.749     13.912      0.409      0.529       699016 
    21.003     16.353      1.840      0.544       128410 
    19.701     23.594      3.277      0.536       264621 
    21.318     19.182      1.025      0.547       -72256 
    26.154     26.136      0.099      0.106      8270320 
    26.173     21.760      0.415      0.106       645397 
    26.190     26.934      1.116      0.104       267304 
    26.134     22.282      1.208      0.108      -268911 
    26.026     22.747      2.229      0.099      -163720 
    26.025     22.739      2.869      0.101      -178257 
    26.249     16.076      1.550      0.088      -137245 
    26.096     16.169      1.934      0.107       -80673 
    22.071     22.058      0.504      0.508     23835406 
    23.191     29.381      3.731      0.536       -95634 
    22.082     28.909      3.710      0.508       541500 
    22.104     19.380      3.982      0.507       435870 
    22.171     33.128      4.560      0.506      -107057 
    21.766     26.150      0.099      0.421       669202 
    26.059     21.610      1.379      0.106       180803 
    23.212     13.943      0.412      0.166       229084 
    24.029     25.797      0.728      0.738      -579675 
    24.429     19.732      1.466      0.769       -89660 
    24.330     19.250      1.371      0.764       -78926 
    25.578     21.356      1.317      0.731      -442420 
    24.832     20.620      2.987      0.770        69174 
    24.744     27.577      1.333      0.768       -73115 
    24.987     25.794      1.225      0.768      -115571 
    24.105     24.245      0.642      1.842       341773 
    22.621     21.105      0.825      0.834     -2809530 
    25.805     21.221      2.867      1.153        60741 
    14.466     22.662      1.446      4.003      -138043 
    19.127     19.118      5.032      5.033      2168258 
    19.190     13.938      5.346      5.036       313051 
    19.143     17.817      0.674      5.030       341023 
    19.170     27.884      0.798      5.038       176776 
    19.220     28.075      1.618      5.044       119818 
    20.903     28.385      4.268      4.456       788312 
    30.570     30.424      2.964      4.961      -137513 
    32.147     24.850      0.943      5.209        65005 
    32.839     32.866      4.949      4.956      2604322 
    34.000     32.861      4.944      5.070       409350 
    32.839     33.868      5.059      4.956       365283 
    19.120     20.940      4.102      4.804       377742 
    22.606     20.978      3.952      4.096        69353 
    32.056     32.054      5.335      5.341      1570938 
    32.087     25.560      4.498      5.343       232092 
    31.997     25.502      3.565      5.347       210331 
    32.081     22.853      3.183      5.349       183334 
    30.736     23.032      3.087      5.334       -94890 
    30.596     22.703      3.188      5.367       -67798 
    32.191     22.849      2.545      5.335       130972 
    25.541     32.193      5.349      4.477       144254 
    28.343     28.384      4.269      4.270      4410846 
    28.361     20.828      4.451      4.269       682098 
    28.333     21.625      1.065      4.270       710364 
    21.653     28.379      4.267      1.074       916448 
    20.139     21.645      1.069      1.078     -1141006 
    20.233     21.134      4.373      1.066       -68884 
    15.000     32.935      4.491      5.559      -207771 
    14.962     14.946      4.972      4.974      1969796 
    15.817     15.827      4.343      4.970      -354804 
    14.970     29.531      3.574      4.974      -304040 
    15.018     29.531      3.314      4.974      -148704 
    14.930     28.120      2.808      4.971       112702 
    15.119     27.971      3.017      4.981       185979 
    15.103     27.652      2.857      4.995        65208 
    13.947     28.419      2.908      4.978        61379 
    20.436     27.949      0.346      3.919        72037 
    13.947     13.947      4.223      3.986       534465 
    32.822     27.620      1.626      0.777       -97898 
    34.000     21.103      0.817      0.824      1332543 
    32.477     34.000      0.801      0.812      -889160 
    34.000     19.100      5.037      0.809      -221096 
    32.759     18.878      4.984      0.783        81514 
    13.947     21.568      0.195      0.825      -267125 
    13.947     25.010      0.860      0.333       560132 
    13.947     25.010      0.860      0.333       560132 
    13.947     27.931      0.741      0.330       210089 
    13.947     19.721      0.522      0.425       770799 
    13.947     19.856      3.949      0.422       156033 
    13.947     31.874      3.218      0.429       118346 
    13.947     32.063      2.028      0.435       121553 
    13.947     27.895      0.807      0.427       386959 
