       w1         w2         w3   Data Height 

    32.574      8.500      4.878       894595 
    45.576      0.923      3.922       764694 
    31.483      8.377      5.340       557520 
    45.948      1.015      0.567      3446733 
    45.583      0.682      1.079      1817157 
    32.808      4.852      1.741       316145 
    34.756      0.844      4.132       430027 
    36.417      0.837      2.268       359712 
    37.149      4.295      3.927       275348 
    38.078      9.186      0.328       189369 
    42.216      8.770      0.892       367172 
    41.894      0.553      0.673      6292631 
    41.995      8.650      0.661       432530 
    41.673      4.042      3.065       291011 
    45.724      0.226      0.631      2415854 
    44.296      0.729      0.534     -1467333 
    38.825      8.723      3.919       699045 
    47.701      7.025      0.942       310272 
    47.703      8.197      0.941       228977 
    50.104      0.791      0.177       698764 
    50.262      7.444      0.470       113417 
    50.309      0.888      1.635       845060 
    43.319      6.797      3.079       440356 
    43.375      6.575      3.088       299901 
    43.075      7.035      3.090       116896 
    33.090      6.771      0.993       181496 
    33.148      6.771      0.795       190413 
    48.531      1.120      0.485       701227 
    48.506      1.140      0.637      1297078 
    48.271      6.721      0.654       133315 
    53.056      7.879      1.275       303028 
    41.901      3.365      2.675       976529 
    42.073      9.488      2.668       506922 
    42.138      9.497      2.447       270635 
    49.678      8.785      1.330       133861 
    49.235      8.786      1.323       121321 
    36.190      0.266      1.485       463853 
    48.575      0.490      1.129       381484 
    34.343      1.560      1.548      2306840 
    51.327      6.675      1.943       322476 
    38.702      3.420      4.359       424061 
    41.442      8.517      1.500       275612 
    53.438      0.836      3.016       372238 
    53.303      6.724      2.890       107574 
    53.065      6.722      3.053       128148 
    31.508      1.457      3.838       221353 
    36.583      0.831      4.029       253280 
    48.023      8.304      0.739       195378 
    45.538      1.358      3.930       816207 
    52.738      4.434      5.248       482593 
    32.208      8.367      4.380       809956 
    52.537      8.456      4.934       347980 
    50.895      7.395      1.960       506870 
    50.834      7.398      2.116       178736 
    41.632      0.841      3.060       335391 
    43.383      6.918      3.055       276608 
    37.937      7.571      0.831       394684 
    31.188      1.406      4.225      1495393 
    31.188      1.245      4.231       954562 
    54.356      8.070      1.644       433006 
    54.392      4.143      1.649       364269 
    37.699      4.347      0.365       220253 
    46.053      0.839      3.544       356494 
    46.019      0.832      4.519       406848 
    51.724      8.854      0.825       124191 
    34.414      1.825      4.451       627650 
    54.276      4.455      1.831       263558 
    53.052      0.742      4.170       608578 
    32.475      8.965      4.880       712177 
    36.994      8.147      3.918       214126 
    33.104      1.456      0.796       375499 
    33.083      1.465      0.995       481330 
    37.282      8.530      0.803       301970 
    53.716      6.737      1.707       152874 
    53.679      6.762      1.767       246963 
    51.959      0.202      1.520      1303401 
    31.565      1.996      4.241       966816 
    51.270      3.779      1.944      8316888 
    51.123      0.893      1.950      1048237 
    51.585      1.136      4.939       613862 
    45.667      0.200      0.200    120698328 
    41.510      3.536      0.268       309912 
    37.674      3.545      0.366       247683 
    43.256      7.109      1.463      1574110 
    35.291      1.163      4.392       196056 
    32.309      1.503      1.951       523577 
    45.179      7.067      0.840       326115 
    32.525      1.806      4.355      3467853 
    54.804      0.285      5.057       310191 
    41.721      8.806      2.879       337242 
    46.045      0.295      3.546       491923 
    53.393      8.804      1.539       196055 
    53.411      3.482      1.520       624772 
    53.334      8.364      1.519       271681 
    48.509      3.484      1.123       335654 
    48.470      8.806      1.121       246433 
    48.468      8.803      1.158       288289 
    38.023      8.001      0.325       374891 
    38.073      5.372      0.328       268883 
    38.090      6.762      0.326       405746 
    38.017      0.186      0.324     10442889 
    38.005      0.478      0.325      7224626 
    36.948      8.803      4.680       393992 
    44.277      0.378      0.530      6993871 
    44.280      7.105      0.530      1237622 
    44.289      0.099      0.530      1364539 
    47.645      0.084      0.826      3715480 
    53.525      8.512      2.103       272233 
    46.360      6.923      0.601      1021853 
    46.368      7.104      0.602      1321312 
    42.040      0.564      2.968       626391 
    42.000      6.764      2.951       120951 
    42.043      6.768      3.005       224429 
    38.280      7.109      1.770       205776 
    52.494      8.908      4.936       287309 
    50.699      0.927      3.621       100402 
    49.349      8.609      0.744       632135 
    49.388      8.853      0.741       433283 
    51.037      0.737      1.342      2187535 
    45.440      1.737      3.953       424219 
    53.063      0.848      4.171       743627 
    38.526      1.841      2.933       116593 
    54.452      0.118      2.562       211346 
    54.464      0.133      2.302       241349 
    47.108      8.313      0.123       196221 
    50.023      1.564      0.177       233599 
    34.717      8.118      2.265        66216 
    42.907      6.728      1.272       170697 
    42.837      7.032      1.275       432622 
    52.870      7.736      3.425       192379 
    52.721      7.709      3.183       176448 
    46.546      6.154      2.537       265977 
    46.595      6.152      2.438       370534 
    46.671      9.487      2.408       160208 
    55.000      1.931      4.234       293521 
    43.207      8.573      1.471       373013 
    38.408      8.157      1.939       103151 
    32.910      7.112      4.314       286892 
    32.859      1.925      4.311      1655108 
    32.859      1.764      4.311      1278858 
    45.205      7.166      0.921       208079 
    51.827      8.188      2.843       295544 
    51.854      8.209      2.948       198450 
    37.398      8.195      1.706       334596 
    46.387      8.665      2.351       225412 
    50.670      8.659      0.478       250240 
    50.756      8.888      0.482       127600 
    43.366      5.184      1.371       325529 
    42.913      7.962      1.374      1788638 
    52.127      6.685      0.710       177879 
    51.922      6.576      0.715       124275 
    51.896      4.087      4.087    239615360 
    51.900      1.491      4.086      4013617 
    43.175      4.085      1.488      6367706 
    44.823      3.936      3.937    360973888 
    44.832      8.335      3.938      2978338 
    40.455      8.331      2.401      1589063 
    40.419      8.324      2.647       742204 
    40.316      4.787      2.418       142556 
    40.432      4.795      2.647       306330 
    40.422      2.405      2.646     33683040 
    40.438      2.647      2.403     29562026 
    40.428      3.641      2.404       565015 
    40.430      3.639      2.645      1607268 
    38.859      4.360      4.364    120860528 
    38.873      1.815      4.364      2148322 
    38.870      2.181      4.365      4138788 
    38.846      3.635      4.361       384113 
    38.875      1.949      4.366      1200004 
    38.869      8.288      4.365     11180019 
    38.833      0.863      4.365       322159 
    38.860      1.623      4.363       329905 
    38.898      1.492      4.365       543681 
    38.867      3.797      4.360       488717 
    31.977      4.357      2.184      2398050 
    31.982      1.816      2.184     17284198 
    31.963      2.174      2.178    104868640 
    31.991      3.638      1.820      1008195 
    32.002      3.635      2.188       467563 
    31.978      8.288      2.185       496091 
    31.956      3.787      2.172       990797 
    31.915      1.940      2.146     12873155 
    31.935      4.354      1.825      1894183 
    31.962      8.280      1.821       851477 
    50.474      4.796      3.637       700652 
    50.493      4.793      3.796       771238 
    50.486      2.647      3.646      1873742 
