       w1         w2         w3   Data Height 

   124.040      1.001      6.780       246206 
   124.091      0.773      6.777       282956 
   123.945      1.289      6.775       250958 
   124.022      8.468      6.776       336245 
   133.158      1.383      7.024       405646 
   131.179      7.049      6.523      1214506 
   118.069      1.329      6.728       451618 
   119.425      2.845      7.096       643694 
   113.600      1.283      6.687       807308 
   114.419      8.129      6.542       373177 
   119.780      0.843      7.065       358360 
   133.228      2.003      7.025       432204 
   133.201      1.548      7.025       501852 
   119.815      1.818      7.045       429259 
   133.184      4.286      6.842      1300208 
   133.192      2.575      6.843      4847075 
   133.177      6.668      6.844     19120846 
   117.946      2.573      6.662       784771 
   117.979      6.668      6.665    115940224 
   117.952      4.126      6.663       767588 
   126.363      2.748      6.144       724791 
   126.393      2.434      6.148      1241925 
   126.393      9.494      6.151      2095621 
   126.440      7.129      6.144       564169 
   121.133      8.029      7.441      1282157 
   121.165      4.279      7.442       625386 
   121.215      2.757      7.442       334232 
   121.150      2.432      7.441       701348 
   121.175      7.441      7.443     12265839 
   121.175      7.441      7.443     12265839 
   122.228      6.965      6.963     11690390 
   122.198      6.784      6.962      2909133 
   113.586      9.492      6.681      1012034 
   113.575      6.939      6.680       681903 
   113.603      0.688      6.684       383666 
   124.123      7.445      6.780       385472 
   124.060      6.951      6.777      4033824 
   124.050      6.777      6.779     17212854 
   131.204      8.000      6.522       649634 
   131.223      5.404      6.521      3080074 
   131.158      2.521      6.526      2126444 
   131.177      2.661      6.525      1722467 
   131.235      6.765      6.522      8003210 
   131.167      3.795      6.526       527038 
   131.209      4.134      6.525       724977 
   131.273      6.522      6.517     60164016 
   118.335      3.422      6.762       504602 
   117.967      5.401      6.757       510293 
   117.992      6.537      6.757      9667680 
   118.113      4.179      6.717       622684 
   117.995      4.151      6.755       467355 
   118.085      0.656      6.758       987757 
   118.008      1.815      6.758      1777918 
   118.028      0.465      6.758      1343421 
   118.011      1.256      6.759      1041106 
   117.978      3.647      6.758       839609 
   133.070      4.388      7.136      1253560 
   133.057      2.977      7.135      2396921 
   133.039      6.826      7.137      9303645 
   118.224      7.132      6.821     12706200 
   119.848      1.701      7.187       495432 
   119.917      3.159      7.185      1083995 
   119.147      0.345      7.175       407064 
   119.198      4.395      7.176       306920 
   119.189      0.577      7.171       353497 
   119.244      3.225      7.172       906802 
   114.416      8.963      6.543       369868 
   114.428      4.421      6.551       800784 
   114.403      0.726      6.549       297632 
   114.445      6.545      6.546     11197129 
   137.630      2.766      8.502       336207 
   137.708      2.412      8.513       463782 
   137.657      4.610      8.512       400698 
   137.698      0.232      8.509       481576 
   137.688      2.327      8.508       350451 
   119.734      3.134      7.283       520141 
   119.717      3.370      7.282       248815 
   133.514      0.175      6.774       589713 
   133.538      3.901      6.774       248074 
   133.537      3.424      6.776       734001 
   133.494      0.565      6.773       689598 
   133.507      4.446      6.773      1215306 
   133.523      2.269      6.774      2581113 
   133.512      2.884      6.774      1936855 
   133.560      8.265      6.772       491184 
   133.538      1.577      6.773       924279 
   133.585      1.949      6.771       735423 
   133.501      8.904      6.775       342614 
   133.518      5.207      6.773       621088 
   133.535      6.774      6.774     55080328 
   118.225      1.590      6.758       867539 
   118.056      2.287      6.758      1583367 
   134.122      0.995      7.156       516160 
   134.091      2.494      7.142       619934 
   134.135      3.155      7.172       275169 
   134.190      0.488      7.153       246881 
   134.096      6.544      7.150       389208 
   114.443      1.001      6.547       892427 
   114.448      7.137      6.548      2134567 
   114.426      0.236      6.545       648791 
   114.471      2.395      6.545       369707 
   131.286      0.186      6.516      1441720 
   131.298      5.271      6.510       988655 
   131.303      1.383      6.514      1405041 
   131.288      9.256      6.514       422506 
   131.318      7.600      6.512       680623 
   131.304      1.559      6.515      1106829 
   131.300      1.954      6.513      1070349 
   131.318      8.910      6.512       430702 
   131.186      0.442      6.524      2648315 
   131.195      2.308      6.524       747251 
   131.322      0.636      6.520       780376 
   117.821      0.179      6.608       880740 
   117.798      1.384      6.608      2794930 
   117.819      0.664      6.607      1449827 
   129.930      0.353      6.912       484289 
   129.899      3.240      6.918       254067 
   129.893      3.735      6.916       286799 
   129.899      6.919      6.915      7426349 
   129.870      7.085      6.914      2469132 
   129.927      0.579      6.915       710615 
   131.545      0.529      7.138       600643 
   131.609      2.160      7.145       870133 
   131.623      0.830      7.144       776397 
   131.690      5.202      7.158       327842 
   131.648      2.332      7.146       824073 
   131.616      3.699      7.146       716851 
   131.349      0.349      7.087       423547 
   131.349      0.546      7.087       931100 
   131.399      2.157      7.088       961341 
   131.449      3.706      7.098       671840 
   119.361      2.161      7.092       292764 
   119.381      1.755      7.096       375822 
   119.483      3.176      7.101       410385 
   119.382      3.417      7.100       451371 
   137.955      1.571      8.112       697666 
   137.935      2.163      8.113       463812 
   137.968      1.747      8.113      1752318 
   138.037      2.967      8.109       242356 
   137.967      8.110      8.111     55986664 
   133.178      0.847      7.026       930697 
   133.172      4.149      7.025       413311 
   133.208      1.295      7.027       580510 
   133.167      4.453      7.025      1132820 
   133.182      2.963      7.026      5582272 
   133.186      7.028      7.026    145857568 
   133.182      6.721      7.026     12358768 
   133.230      3.912      7.028       715028 
   118.185      2.965      6.720       635917 
   118.147      7.027      6.716     14357585 
   118.197      1.556      6.724       854941 
   118.119      0.857      6.719      1017437 
   119.752      2.908      7.043       593290 
   119.752      3.066      7.037       825270 
   119.738      4.548      7.068       307739 
   119.806      3.038      7.086      1521033 
   119.154      3.017      7.172       587095 
   120.069      3.137      7.178      1231728 
