       w1         w2         w3   Data Height 

   128.932      0.830      8.385       870767 
   125.614      8.104      9.266       418081 
   126.183      4.812      8.662       406283 
   119.527      4.456      8.265       388188 
   122.024      7.977      7.419       782202 
   115.007      7.974      8.627       891423 
   115.090      1.757      8.634       408382 
   115.028      1.257      8.625       939969 
   108.368      1.759      8.260       792495 
   108.420      2.011      8.255       353003 
   108.357      2.971      8.245       526753 
   114.971      2.694      7.382       232307 
   125.572      8.490      8.851       724651 
   115.463      7.921      8.689       554931 
   122.892      6.566      8.425       421332 
   108.647      4.558      8.612       438868 
   111.877      4.807      8.789       991318 
   110.401      4.806      8.208       787335 
   124.341      7.476      8.029       353211 
   121.593      4.800      8.161      1018310 
   121.539      1.843      8.164       803642 
   123.142      4.809      8.214      1601782 
   122.315      4.803      7.670      1789280 
   115.276      6.645      8.920       580400 
   123.915      4.477     10.671       408770 
   116.906      8.319      7.568       716344 
   125.397      4.810      8.318     25098532 
   125.402      1.534      8.323      1063299 
   118.563      4.806      8.021      2675929 
   121.653      1.697      7.654       404361 
   127.876      2.692      9.510      1306262 
   127.905      0.508      9.510       436753 
   123.636      8.302      9.185       806404 
   119.008      0.510      7.579       492574 
   119.050      2.208      7.579       648797 
   119.041      4.877      7.578       889903 
   119.024      5.290      7.571       335962 
   124.594      2.215      8.981      3484266 
   120.356      0.408      8.562       939225 
   120.435      4.812      8.548      1736950 
   121.940      3.704      8.338       470860 
   120.892      4.800      8.163      1202871 
   121.027      3.952      8.165       764259 
   115.800      4.805      8.612      2992752 
   118.251      4.806      8.248      3800359 
   121.617      3.803      8.161       922174 
   123.634      0.294      9.179       402138 
   114.090      3.457      7.501       260689 
   114.043      3.467      7.147       219638 
   112.820      1.377      6.946       274792 
   108.466      4.807      7.215     10021905 
   107.884      4.811      7.213      3521499 
   107.838      0.555      7.207       242693 
   114.898      8.265      7.375       225633 
   111.436      8.331      8.584      1375290 
   119.510      4.388      8.263       471127 
   119.533      7.414      8.266       429636 
   116.398      1.149      8.820       688147 
   119.176      0.489      8.904       366907 
   122.489      4.801      8.167       955186 
   123.623      0.557      9.180       491064 
   124.581      8.440      8.987       430577 
   122.680      2.470      8.137       498459 
